LP,sygnał %,Dźwignia x,wartość pozycji w USD,otwarcie pozycji,zamknięcie pozycji,data otwarcia,data zamknięcia,czas otwartej pozycji HH:MM:SS,różnica kursu otwarcie-zamkniecie $,Position change %,PNL $,Cumulative percentage,confidence factor,depozyt początkowy,depozyt aktualny,Cena BTC live,depozyt USD
1,"1,00%","10,00","$10,00","20645,00","20890,00",2022-11-07 09:25:00,2022-11-07 21:15:00,11:50:00,▲ $245,"▲ 11,73%","$1,17","$1 001,17","65,42","$1 000,00",#DIV/0!,"17420,5",1000
2,"1,00%","10,00","$10,03","19543,00","19850,00",2022-11-08 06:21:00,2022-11-08 07:50:00,1:29:00,▲ $307,"▲ 15,47%","$1,55","$1 002,72","74,77",,,,
3,"1,00%","10,00","$10,09","19396,00","20650,00",2022-11-08 15:50:00,2022-11-08 17:40:00,1:50:00,▲ $1254,"▲ 60,73%","$6,13","$1 008,85","78,31",,,,
4,"1,00%","10,00","$10,15","19363,00","20650,00",2022-11-08 16:27:00,2022-11-08 17:40:00,1:13:00,▲ $1287,"▲ 62,32%","$6,33","$1 015,18","83,64",#DIV/0!,#DIV/0!,,
5,"1,00%","10,00","$10,22","19360,00","20650,00",2022-11-08 16:45:00,2022-11-08 17:40:00,0:55:00,▲ $1290,"▲ 62,47%","$6,38","$1 021,56","74,61",,,,
6,"1,00%","10,00","$10,26","17935,00","18750,00",2022-11-08 20:27:00,2022-11-08 20:50:00,0:23:00,▲ $815,"▲ 43,47%","$4,46","$1 026,02","71,44",,,,
,,,,,,,2022-11-09 10:25:00,1076986:25:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"76,99",,,,
,,,,,,,2022-11-09 11:00:00,1076987:00:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"76,63",,,,
,,,,,,,2022-11-09 11:35:00,1076987:35:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"76,65",,,,
,,,,,,,2022-11-09 11:35:00,1076987:35:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"81,22",,,,
,,,,,,,2022-11-09 12:25:00,1076988:25:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"79,28",,,,
,,,,,,,2022-11-09 12:25:00,1076988:25:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"79,57",,,,
,,,,,,,2022-11-09 13:10:00,1076989:10:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"80,31",,,,
,,,,,,,2022-11-09 14:50:00,1076990:50:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"80,66",,,,
,,,,,,,2022-11-09 15:45:00,1076991:45:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"85,20",,,,
,,,,,,,2022-11-09 16:50:00,1076992:50:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"88,00",,,,
,,,,,,,2022-11-09 17:42:00,1076993:42:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"88,02",,,,
,,,,,,,2022-11-09 18:40:00,1076994:40:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"84,53",,,,
,,,,,,,2022-11-09 18:40:00,1076994:40:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"77,14",,,,
,,,,,,,2022-11-09 19:00:00,1076995:00:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"72,24",,,,
,,,,,,,2022-11-09 19:15:00,1076995:15:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"73,97",,,,
,,,,,,,2022-11-09 20:05:00,1076996:05:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"74,63",,,,
1,"1,00%","10,00",#DIV/0!,"16744,00","16950,00",2022-11-09 19:50:00,2022-11-09 20:05:00,0:15:00,▲ $206,"▲ 12,15%",#DIV/0!,#DIV/0!,"69,19",,,,
2,"1,00%","10,00",#DIV/0!,"16229,00","15800,00",2022-11-09 21:59:00,2022-11-09 22:36:00,0:37:00,▼ -$429,"▼ -27,15%",#DIV/0!,#DIV/0!,"67,37",,,,
3,"1,00%","10,00",#DIV/0!,"16047,00","16154,00",2022-11-09 22:18:00,2022-11-09 22:36:00,0:18:00,▲ $107,"▲ 6,62%",#DIV/0!,#DIV/0!,"67,93",,,,
4,"1,00%","10,00",#DIV/0!,"16105,00","16154,00",2022-11-09 22:30:00,2022-11-09 22:36:00,0:06:00,▲ $49,"▲ 3,03%",#DIV/0!,#DIV/0!,"67,80",,,,
5,"1,00%","10,00",#DIV/0!,"15792,00","16300,00",2022-11-09 22:55:00,2022-11-10 01:30,2:35:00,▲ $508,"▲ 31,17%",#DIV/0!,#DIV/0!,"68,45",,,,
6,"1,00%","10,00",#DIV/0!,"15784,00","17813,00",2022-11-09 23:12:00,2022-11-10 01:30,2:18:00,▲ $2029,"▲ 113,91%",#DIV/0!,#DIV/0!,"68,04",,,,
7,"1,00%","10,00",#DIV/0!,"17016,00","17380,00",2022-11-11 04:13:00,2022-11-11 07:00:00,2:47:00,▲ $364,"▲ 20,94%",#DIV/0!,#DIV/0!,"68,02",,,,
8,"1,00%","10,00",#DIV/0!,"16943,00","17380,00",2022-11-11 04:38:00,2022-11-11 07:00:00,2:22:00,▲ $437,"▲ 25,14%",#DIV/0!,#DIV/0!,"68,19",,,,
9,"1,00%","10,00",#DIV/0!,"16761,00","16880,00",2022-11-11 16:10:00,2022-11-11 16:17:00,0:07:00,▲ $119,"▲ 7,05%",#DIV/0!,#DIV/0!,"68,56",,,,
10,"1,00%","10,00",#DIV/0!,"16795,00","16960,00",2022-11-11 16:47:00,2022-11-11 19:10:00,2:23:00,▲ $165,"▲ 9,73%",#DIV/0!,#DIV/0!,"68,33",,,,
11,"1,00%","10,00",#DIV/0!,"16859,00","16960,00",2022-11-11 17:06:00,2022-11-11 19:10:00,2:04:00,▲ $101,"▲ 5,96%",#DIV/0!,#DIV/0!,"68,33",,,,
12,"1,00%","10,00",#DIV/0!,"16715,00","16960,00",2022-11-11 17:24:00,2022-11-11 19:10:00,1:46:00,▲ $245,"▲ 14,45%",#DIV/0!,#DIV/0!,"68,99",,,,
13,"1,00%","10,00",#DIV/0!,"16763,00","16960,00",2022-11-11 17:43:00,2022-11-11 19:10:00,1:27:00,▲ $197,"▲ 11,62%",#DIV/0!,#DIV/0!,"68,89",,,,
14,"1,00%","10,00",#DIV/0!,"16786,00","16960,00",2022-11-11 18:01:00,2022-11-11 19:10:00,1:09:00,▲ $174,"▲ 10,26%",#DIV/0!,#DIV/0!,"68,63",,,,
15,"1,00%","10,00",#DIV/0!,"16757,00","16960,00",2022-11-11 18:38:00,2022-11-11 19:10:00,0:32:00,▲ $203,"▲ 11,97%",#DIV/0!,#DIV/0!,"68,81",,,,
,,,,,,,,0:00:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"78,8",,,,
,,,,,,,,0:00:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"84,7",,,,
,,,,,,,2022-11-13 12:30:00,1077084:30:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"76,35",,,,
,,,,,,,2022-11-13 12:30:00,1077084:30:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"76,4",,,,
,,,,,,,2022-11-13 12:30:00,1077084:30:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"77,29",,,,
,,,,,,,2022-11-13 12:30:00,1077084:30:00,▲ $0,#DIV/0!,#DIV/0!,#DIV/0!,"80,45",,,,
